"Data Source","World Development Indicators",

"Last Updated Date","2022-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","401.592044514151","441.624633069453","470.789224089613","536.204677756618","522.48303948214","541.715995976188","605.406218807635","679.677265050636","817.649513685477","1067.73652873371","1482.56258608571","1978.66066092774","2905.70390556571","3764.9817375192","2742.76684973496","2919.02560354348","3156.84465172417","3325.85114989735","3556.28894874618","3647.61254544618","3235.79234352793","3167.69446618233","3515.98221484361","3709.08809199178","4025.70700624777","3520.52276640586","",
"American Samoa","ASM","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","2679.49343852798","2828.03310161499","3247.87204652236","3942.54223326264","5330.86052915148","5785.33884886133","6194.48190624615","6330.43379854068","6734.43352372482","7437.88080627635","8181.48993134958","9698.24525943626","10228.2193318581","9345.6433996573","10046.7374558309","9101.5227182843","9038.72704645408","9233.43017059623","11436.0041158715","14135.5770421099","14167.8166566884","14638.8715626284","14467.2744621587","13953.7179061435","14420.8910946609","16014.1909430956","17313.1095183761","18598.3916027965","16957.8107804138","16347.0269980294","17046.1309263395","15465.4118537328","16023.7472646936","18803.6343968704","24330.8639833269","26553.4031942027","27889.9488871901","31281.575999447","37842.5814718623","33330.7693772111","40364.9745569428","48352.993811935","53384.5862438924","53737.1487428041","48683.5509371087","44412.7922261694","39031.7829892634","42080.5505276569","44159.8766479039","42360.8012319827","39262.1574097934","",
"Austria","AUT","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","1759.62508451791","2032.94855184519","2495.67144820273","3328.33123061663","3955.93330956703","4498.29023354243","4849.34178458554","5792.833170456","6949.159283361","8302.71720595072","9164.26985850794","7856.42369649773","7891.14308171828","8034.66303852512","7565.02847651489","7732.92777655868","11000.2534799282","13771.3202317827","14865.5637823051","14781.0823908373","18387.5465871194","18875.0066237066","20982.3280888198","20241.9683055285","21531.2786605954","25388.2051401899","25026.7128806271","22284.3310508232","22789.8021817394","22348.6245510605","20341.0338547381","20125.4693826828","21816.0743733578","26658.3401528328","30555.3050795581","31845.2720788636","33960.5072854128","39103.4394607903","43461.3189659145","39492.897683898","38980.7326560158","42556.7022359201","39976.4925866692","41680.0882213651","42411.373602849","35797.3091951426","37170.4702490484","38344.4395885719","41653.4773965192","40727.1742624802","38816.7484571894","",
"Azerbaijan","AZE","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","452.745777711758","435.56923926368","391.570953355529","462.994064453432","574.714729974114","675.113881600179","763.368855681161","956.915598305492","1374.47195553947","2072.84529384231","3169.0775960064","3331.14893708963","3870.32197963119","4682.27114232738","5190.1024208569","5591.72890810391","6039.28902601888","4460.66327690633","3018.59952741949","3198.10574333415","3372.91141228844","3612.6739887796","3483.9227979479","",
"Burundi","BDI","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","169.19587382833","175.93129069115","169.699092384451","186.051915346979","162.796168471226","185.974368337591","182.044861630721","162.08223953993","149.760909273391","149.961630768624","144.323247005571","148.680721162333","131.936414835827","111.526306763262","103.590744407995","98.1634734664743","76.4336016286757","93.1965491004392","81.459739192145","86.9594679400301","95.8285938967016","85.4923160106577","71.6220553101343","47.1998883386264","65.0651087851699","83.9307889376133","101.327641062664","90.5249342472862","104.004005292367","115.808088283463","144.70105827503","151.637161978044","173.094216966262","179.96134642416","192.834962291649","219.194152204313","179.515670561298","172.690074473516","174.999924536032","165.709514147707","173.568274140071","",
"Belgium","BEL","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","2400.10032267002","2678.58500148598","3333.23995719898","4282.17365511915","4995.98563186109","5843.26699586301","6355.60954298689","7320.97780432535","8927.51744961278","10177.8300614852","10829.4613269224","8874.2414796249","7759.72996439388","7344.16504325859","7082.0828653387","7366.50032618891","10294.4306614287","12881.2986199157","14020.2071959706","14090.5540495477","17593.2691025397","18007.0056535686","19961.5376659955","19213.200510854","21096.6094951502","24603.3591975753","23714.3205866847","21429.0337601948","21830.1183832879","21647.2760738264","19799.7837005574","19523.1654334249","21080.3565343492","25818.2290268642","29717.3237618242","30798.0214901119","32301.2936727739","36925.5834141798","40244.7149262715","36720.4276823285","36300.5844668379","38233.7009824722","36963.5372423085","38769.5934405696","39495.1483084601","33791.1958286358","34508.8420347425","36258.435557291","39050.1149559573","38315.7499206348","36526.5257426342","",
"Benin","BEN","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","99.8896688489311","120.72470537012","142.629159911597","154.030198127645","179.669869113475","180.46209344022","179.354937677321","220.548401297839","283.874587601187","325.829696270256","294.009945879186","264.668301203893","223.993425614517","203.819603326356","204.676642588753","252.865392735223","288.113404416847","291.166159962644","252.448167807891","320.64986051321","314.525343325636","242.282956534579","328.159009903404","203.626024064697","265.037217068071","277.705034016125","263.504083808769","280.744001824323","436.013027880771","409.305389359278","424.357224115416","481.250424257902","601.171329584359","678.638898805634","704.997367764836","733.205742187726","829.631325034233","967.696440114212","927.650730123401","879.696152528847","969.916885643172","992.892902718396","1102.27389711219","1144.1801464522","958.434340402188","968.410465668016","1003.13166221777","1095.38647749372","1073.97675103047","1133.39984671112","",
"Burkina Faso","BFA","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","267.271422175535","239.3279622076","229.849749535798","203.076528780952","180.207571780449","186.514159944431","238.399475966112","268.691488731737","288.633689963783","280.905001777651","324.31382936986","319.290649990268","332.430847958595","307.860278968929","175.38772726938","216.114242617162","230.39326883208","210.769836873852","233.634011760372","275.172928214499","239.29110609194","249.222568656849","272.611930718469","346.341974666719","385.333826556906","420.245179389313","434.739431012563","491.448469392795","586.428795067657","557.050888135915","556.045099592415","622.413601690675","651.826615513952","680.496599984917","677.863151881053","563.056222551673","595.586867479512","635.405871846024","700.446974172312","693.727771874852","631.802081376026","",
